director_name,actor_1_name
Mark Dindal,Eartha Kitt
Simon West,Jason Statham
Spike Jonze,Catherine O'Hara
Stefen Fangmeier,Djimon Hounsou
Peter Hyams,CCH Pounder
Frank Oz,Jon Lovitz
Ash Brannon,Jeff Bridges
Edward Zwick,Leonardo DiCaprio
Zack Snyder,Abbie Cornish
Paul Verhoeven,Jake Busey
Brad Silberling,Will Ferrell
Pitof,Frances Conroy
Patrick Hughes,Jason Statham
Ron Clements,Joseph Gordon-Levitt
Paul Greengrass,Matt Damon
Wally Pfister,Johnny Depp
Lawrence Guterman,Jamie Kennedy
David Mamet,Ben Gazzara
Ron Underwood,Rosario Dawson
Steve Martino,Francesca Capaldi
Stephen Sommers,Dwayne Johnson
Martin Scorsese,Leonardo DiCaprio
Steve Martino,Peter Dinklage
Ridley Scott,Ioan Gruffudd
Chris Columbus,Logan Lerman
Tony Scott,Denzel Washington
Luc Besson,Milla Jovovich
Bibo Bergeron,Frank Welker
Peter Jackson,Michael Imperioli
Sergey Bodrov,Jeff Bridges
Andrew Stanton,Alexander Gould
Peter Jackson,Orlando Bloom
Peter Jackson,Christopher Lee
Simon West,Angelina Jolie Pitt
Joe Johnston,Michael Jeter
Rupert Wyatt,James Franco
Mark Waters,Martin Short
Brad Bird,Holly Hunter
John Moore,Bruce Willis
Renny Harlin,Christopher Masterson
Ben Stiller,Adam Scott
Barry Sonnenfeld,Will Smith
John Lasseter,Tom Hanks
Brett Ratner,Mei Melançon
Guy Ritchie,Robert Downey Jr.
Carlos Saldanha,Denis Leary
Robert Zemeckis,Harrison Ford
Carlos Saldanha,Anne Hathaway
Martin Scorsese,Leonardo DiCaprio
McG,Bill Murray
Tony Bancroft,Ming-Na Wen
Ben Stiller,Robert Downey Jr.
David Fincher,Robin Wright
Robert Zemeckis,Matthew McConaughey
Dennis Dugan,Adam Sandler
John McTiernan,Bruce Willis
Walt Becker,Bella Thorne
Gary Trousdale,Leonard Nimoy
Bryan Singer,Tom Cruise
Chris Columbus,Peter Dinklage
Steven Spielberg,Haley Joel Osment
Rob Minkoff,Marsha Thomason
Paul Verhoeven,Greg Grunberg
Sydney Pollack,Curtiss Cook
Thor Freudenthal,Logan Lerman
Jan de Bont,Gerard Butler
Jon M. Chu,Daniel Radcliffe
Tony Scott,Brad Pitt
Phillip Noyce,Alun Armstrong
Brian De Palma,Don Cheadle
Chris Columbus,Robin Williams
Mick Jackson,Don Cheadle
Alan J. Pakula,Harrison Ford
Kathryn Bigelow,Liam Neeson
Paul W.S. Anderson,Milla Jovovich
Andrey Konchalovskiy,Shirley Henderson
Ron Howard,Paddy Considine
Gary Ross,Jeff Bridges
Robert Zemeckis,Tom Hanks
Steven Soderbergh,Brad Pitt
Paul Greengrass,Matt Damon
Wolfgang Petersen,Harrison Ford
Neil Burger,Kate Winslet
Genndy Tartakovsky,Steve Buscemi
Kevin Lima,Jeff Bennett
Daniel Espinosa,Denzel Washington
Steven Soderbergh,Al Pacino
Nancy Meyers,Meryl Streep
Tony Scott,Will Smith
Roger Allers,Jon Favreau
Brett Ratner,Matthew Broderick
Kevin Lima,Ioan Gruffudd
Tarsem Singh,Julia Roberts
Nancy Meyers,Kate Winslet
Justin Lin,Amber Stevens West
Rob Marshall,Li Gong
Jean-Jacques Annaud,Bob Hoskins
John McTiernan,F. Murray Abraham
Peter Berg,Dwayne Johnson
Sarah Smith,Jim Broadbent
Brad Peyton,Jack McBrayer
Martin Brest,Anthony Hopkins
Andrew Davis,Raymond Cruz
David Fincher,Robert Downey Jr.
Edgar Wright,Anna Kendrick
Jon Amiel,Glenn Morshower
Raja Gosnell,Sarah Michelle Gellar
Peter Segal,Larry Miller
Dean Parisot,Bruce Willis
Frank Coraci,Adam Sandler
Gary Winick,Steve Buscemi
Doug Liman,Kristen Stewart
Guillermo del Toro,Seth MacFarlane
Peter Segal,Adam Sandler
Sylvester Stallone,Jason Statham
Roger Spottiswoode,Robert Duvall
Tom Shadyac,Morgan Freeman
Gary Ross,Jennifer Lawrence
Todd Phillips,Bradley Cooper
Genndy Tartakovsky,Steve Buscemi
Tim Burton,Michael Gough
Tim Johnson,Bruce Willis
Dean DeBlois,Tia Carrere
Mimi Leder,Morgan Freeman
Dennis Dugan,Steve Buscemi
Mike Mitchell,Amy Poehler
Peter Segal,Bill Murray
Chris Wedge,Jim Broadbent
Martin Scorsese,Leonardo DiCaprio
Nancy Meyers,Keanu Reeves
Seth Gordon,Jon Favreau
John Woo,Nicolas Cage
Adam Shankman,Adam Sandler
Sam Mendes,Tom Hanks
Dennis Dugan,Adam Sandler
D.J. Caruso,Rosario Dawson
Simon West,Steve Buscemi
Eric Brevig,Justin Timberlake
Anthony Minghella,Philip Seymour Hoffman
Albert Hughes,Denzel Washington
Les Mayfield,Robin Williams
Joe Pytka,Bill Murray
David Ayer,Brad Pitt
Shawn Levy,Roger Rees
Frank Coraci,Rosario Dawson
Richard Donner,Julia Roberts
Ivan Reitman,Harrison Ford
Kelly Asbury,Matt Damon
Dominic Sena,Hugh Jackman
Stephen Hopkins,Gary Oldman
Jonathan Demme,Denzel Washington
James Algar,Quincy Jones
Simon Wells,Mark Addy
Vincent Ward,Robin Williams
Ron Underwood,Charlize Theron
Martin Campbell,Michael Emerson
Steven Brill,Adam Sandler
Terry Gilliam,Matt Damon
Tim Burton,Natalie Portman
Barry Cook,Charlie Rowe
Roger Donaldson,Bruce Greenwood
Rob Cohen,Sylvester Stallone
Breck Eisner,Vin Diesel
Paul W.S. Anderson,Sasha Roiz
Joe Dante,Brendan Fraser
Rob Marshall,Fergie
Richard Donner,Paul Walker
Jacques Perrin,Pedro Armendáriz Jr.
George Miller,Adam Goldberg
Kevin Costner,Olivia Williams
Antony Hoffman,Bob Neill
Oliver Hirschbiegel,Roger Rees
Peter Hyams,David Oyelowo
Roger Allers,Matthew Broderick
Brad Peyton,Josh Hutcherson
Dennis Dugan,Al Pacino
Ron Howard,Adam Goldberg
Cody Cameron,Will Forte
Brett Ratner,Philip Seymour Hoffman
Joe Johnston,J.K. Simmons
Stephen Norrington,Jason Flemyng
Renny Harlin,James D'Arcy
Mark Osborne,Jeff Bridges
Pierre Coffin,Steve Carell
Alfonso Cuarón,Charlie Hunnam
Des McAnuff,Robert De Niro
Yarrow Cheney,Steve Coogan
Roland Emmerich,Will Smith
Steven Spielberg,Ariana Richards
Carlos Saldanha,Denis Leary
Eric Darnell,Jada Pinkett Smith
Dennis Dugan,Steve Buscemi
Bibo Bergeron,Robert De Niro
Bryan Singer,Hugh Jackman
Timur Bekmambetov,Angelina Jolie Pitt
Michael Bay,Nicolas Cage
Peter Segal,Adam Sandler
Adam Shankman,Jerry Stiller
Louis Leterrier,Morgan Freeman
Bill Condon,Loretta Devine
David Kellogg,Matthew Broderick
Tarsem Singh,Henry Cavill
Steven Spielberg,Tom Hanks
Neil Mcenery-West,Walter Hendrix III
Gil Kenan,Steve Buscemi
Thor Freudenthal,Don Cheadle
Martin Campbell,Nicholas Lea
Mike Nichols,Philip Seymour Hoffman
F. Gary Gray,Dwayne Johnson
Steven Spielberg,Ayelet Zurer
Robert Luketic,Tom Selleck
Guy Ritchie,Henry Cavill
Antoine Fuqua,Bruce Willis
M. Night Shyamalan,Bryce Dallas Howard
James L. Brooks,Adam Sandler
Barry Levinson,Bruce Willis
Andy Tennant,Bai Ling
Zack Snyder,Jon Hamm
Florent-Emilio Siri,Jimmy Bennett
Ron Shelton,Harrison Ford
Don Bluth,Matt Damon
John Moore,Dennis Quaid
Paul W.S. Anderson,Connie Nielsen
Henry Selick,Brendan Fraser
Kyle Balda,Steve Carell
Paul Tibbitt,Tim Conway
M. Night Shyamalan,Robin Wright
Adam McKay,Will Ferrell
Clay Kaytis,Peter Dinklage
Brian De Palma,Nicolas Cage
Barry Levinson,Peter Coyote
David Silverman,Albert Brooks
Andy Tennant,Matthew McConaughey
Judd Apatow,Adam Sandler
Peter Berg,Jennifer Garner
Mel Gibson,Mhairi Calvey
Sam Mendes,Jake Gyllenhaal
Renny Harlin,Sylvester Stallone
Frank Darabont,Martin Landau
Jean-Jacques Annaud,David Gant
M. Night Shyamalan,Bryce Dallas Howard
M. Night Shyamalan,Rory Culkin
Andrew Adamson,Rupert Everett
Betty Thomas,Amy Poehler
Garry Marshall,Julia Roberts
Rob Cohen,Vin Diesel
Ron Howard,Lili Taylor
Steven Spielberg,Robin Williams
Renny Harlin,Bruce Willis
Clark Johnson,Jeremy Renner
,Nicole Beharie
Cameron Crowe,Tom Cruise
Antoine Fuqua,Gerard Butler
Jonathan Liebesman,Noel Fisher
Paul W.S. Anderson,Sanaa Lathan
Steven Spielberg,Jeremy Irvine
Randall Wallace,Jon Hamm
George Clooney,Bill Murray
Jonathan Frakes,LeVar Burton
Tim Burton,Steve Buscemi
Mike Nichols,David Hyde Pierce
Måns Mårlind,Theo James
Gary Shore,Dominic Cooper
James Cameron,Michael Biehn
Oliver Stone,Frank Langella
Ron Howard,Channing Tatum
Edward Zwick,Denzel Washington
Matthew Vaughn,Henry Cavill
Adam Shankman,James Martin Kelly
Jean-Jacques Annaud,Brad Pitt
Kerry Conran,Angelina Jolie Pitt
Joel Schumacher,Anthony Hopkins
Andrzej Bartkowiak,Dwayne Johnson
Craig Gillespie,Michael Raymond-James
Mikael Håfström,Sylvester Stallone
Gary McKendry,Jason Statham
Mikael Salomon,Morgan Freeman
Gregory Hoblit,Bruce Willis
John McTiernan,LL Cool J
Renny Harlin,Roxanne McKee
Wych Kaosayananda,Talisa Soto
Bobby Farrelly,Ron Howard
Will Finn,Lea Michele
Michael Mann,Chris Hemsworth
Michael Caton-Jones,Charlotte Rampling
Pierre Coffin,Steve Carell
Jay Roach,Steve Carell
David Slade,Robert Pattinson
Phil Alden Robinson,Morgan Freeman
Seth MacFarlane,Liam Neeson
Bobby Farrelly,Jenna Fischer
Joseph Ruben,Vincent Pastore
Lawrence Kasdan,Morgan Freeman
Kinka Usher,Janeane Garofalo
Michael Mann,Al Pacino
Ridley Scott,Leonardo DiCaprio
Timur Bekmambetov,Rufus Sewell
,Hector Elizondo
Doug Lefler,Colin Firth
Jon Amiel,Will Patton
Scott Waugh,Rami Malek
Steven Spielberg,Tom Hanks
Nancy Meyers,Judy Greer
Steven Spielberg,Joseph Gordon-Levitt
Chris Wedge,Goran Visnjic
Ron Howard,Tom Hanks
Lana Wachowski,Keanu Reeves
Tom Hooper,Hugh Jackman
Michael Lembeck,Judge Reinhold
Nora Ephron,Tom Hanks
Angelina Jolie Pitt,Finn Wittrock
Todd Phillips,Robert Downey Jr.
Adam McKay,Will Ferrell
Martin Campbell,Anthony Hopkins
Clint Eastwood,Clint Eastwood
Will Gluck,Quvenzhané Wallis
Renny Harlin,Sylvester Stallone
John Woo,Delroy Lindo
Oliver Stone,Nicolas Cage
Jon Turteltaub,Bruce Willis
Mike Newell,Julia Roberts
Larry Charles,Sayed Badreya
Stanley Kubrick,Tom Cruise
McG,Tom Hardy
Glenn Ficarra,Will Smith
David S. Goyer,Ryan Reynolds
John Milius,Lea Thompson
McG,Matthew McConaughey
Baltasar Kormákur,Michael Kelly
Paul W.S. Anderson,Milla Jovovich
Mike Nichols,Maura Tierney
David Fincher,Brad Pitt
Paul W.S. Anderson,Jason Statham
Renny Harlin,Melina Kanakaredes
Taylor Hackford,Pamela Reed
Rob Bowman,Jennifer Garner
David Bowers,Nicolas Cage
Michael Lehmann,Bruce Willis
Frank Miller,Joseph Gordon-Levitt
Nora Ephron,Michael Rapaport
Roman Polanski,Ian McNeice
Keenen Ivory Wayans,Chazz Palminteri
Sydney Pollack,Harrison Ford
Tom Tykwer,Michael Smiley
Steven Spielberg,Wayne Knight
Jay Roach,Verne Troyer
Tim Hill,Gary Cole
Lawrence Kasdan,Dennis Quaid
Phillip Noyce,Harrison Ford
Jonathan Mostow,Matthew McConaughey
Rob Reiner,Shawna Waldron
Quentin Tarantino,Craig Stark
Marco Schnabel,Justin Timberlake
Demian Lichtenstein,Jon Lovitz
David Fincher,Patrick Fugit
Josh Gordon,Will Ferrell
Wes Ball,Ki Hong Lee
Baltasar Kormákur,Denzel Washington
Jay Roach,Robert De Niro
Phil Lord,Morgan Freeman
Zack Snyder,Gerard Butler
Walt Becker,Jill Hennessy
David Frankel,Eric Dane
Frank Darabont,Tom Hanks
Mark Dindal,Catherine O'Hara
Peter Weir,Natascha McElhone
Doug Liman,Matt Damon
Peter Billingsley,Jon Favreau
Martin Campbell,Izabella Scorupco
F. Gary Gray,Jason Statham
Steve Carr,Anjelica Huston
Simon West,Daniel von Bargen
Brenda Chapman,Martin Short
Michael Mann,Tom Cruise
Lawrence Guterman,Carol Ann Susi
Marc Lawrence,Dorian Missick
Eric Darnell,Sylvester Stallone
Chuck Russell,Dwayne Johnson
Todd Phillips,Snoop Dogg
Tony Scott,Tom Cruise
Adam Shankman,Taylor Lautner
Ryan Murphy,James Franco
Tony Scott,Denzel Washington
Oliver Stone,Al Pacino
Robert Redford,Scarlett Johansson
Henry Selick,Jennifer Saunders
Jay Russell,Billy Burke
Renny Harlin,LL Cool J
David McNally,Estella Warren
M. Night Shyamalan,Zooey Deschanel
Babak Najafi,Gerard Butler
,Bianca Kajlich
Brian Robbins,Robert Downey Jr.
Brian Levant,Jim Belushi
Steven Zaillian,Robert Duvall
David O. Russell,Jennifer Lawrence
Michael Caton-Jones,J.K. Simmons
John Woo,Ivana Milicevic
Jon Avnet,Joe Mantegna
Sam Fell,Emma Watson
Kevin Donovan,Romany Malco
Kenneth Branagh,Colm Feore
Geoff Murphy,Peter Greene
John Pasquin,Eileen Brennan
Jean-Pierre Jeunet,Gary Dourdan
Antoine Fuqua,Tate Donovan
Griffin Dunne,Goran Visnjic
Ruben Fleischer,Ryan Gosling
Harold Ramis,Olivia Wilde
Martin Campbell,Bojana Novakovic
Stuart Baird,Tom Hardy
Rob Bowman,Christian Bale
Jorge Blanco,Dwayne Johnson
Tony Gilroy,Julia Roberts
Jon Avnet,Robert De Niro
Clint Eastwood,Matt Damon
Kevin Macdonald,Robin Wright
Donald Petrie,Steven Anthony Lawrence
Clark Johnson,Blair Brown
Robert Lorenz,Clint Eastwood
Joel Coen,Cedric the Entertainer
Peter Hyams,John Kapelos
Harold Becker,Bruce Willis
Cameron Crowe,Philip Seymour Hoffman
Harold Ramis,Robert De Niro
Joe Wright,Robert Downey Jr.
Harald Zwart,Aidan Turner
Robert Redford,Matt Damon
Tom Shadyac,Joe Morton
Scott Stewart,Josh Wingate
Lee Tamahori,Sunny Mabrey
Paul W.S. Anderson,Sean Pertwee
Patrick Gilmore,Brad Pitt
Walter Salles,Dougray Scott
Brian De Palma,Scarlett Johansson
Ron Howard,Matthew McConaughey
Frank Miller,Scarlett Johansson
Rod Lurie,Clifton Collins Jr.
Iain Softley,Brendan Fraser
Walter Hill,Robert Forster
Tony Bill,James Franco
Akiva Goldsman,Matt Bomer
Stephen Herek,Kelly Preston
Brian Robbins,Marc Blucas
John Dahl,James Franco
David Koepp,Johnny Depp
Uwe Boll,Jason Statham
Martin Campbell,Angelina Jolie Pitt
Pou-Soi Cheang,Li Gong
Tim Miller,Ryan Reynolds
Clint Eastwood,Bradley Cooper
Rob Letterman,Odeya Rush
Anthony Hemingway,David Oyelowo
Mark Waters,Jon Heder
Shawn Levy,Josh Gad
Brian Levant,Taylor Negron
George Clooney,Robert Baker
Marc Lawrence,Michael Kelly
Paul W.S. Anderson,Milla Jovovich
Sean Anders,Adam Sandler
Taylor Hackford,Keanu Reeves
Mark Neveldine,Nicolas Cage
Rob Cohen,Dennis Quaid
Brett Ratner,Salma Hayek
John Madden,Christian Bale
,Barry Corbin
Adam Shankman,Vin Diesel
Robert Zemeckis,Tom Hanks
Tim Hill,Jesse McCartney
Andy Tennant,Will Smith
Gabriele Muccino,Will Smith
Mike Gabriel,Christian Bale
Richard Donner,Marlon Brando
Tom Shadyac,Jada Pinkett Smith
Paul Greengrass,Tom Hanks
Sam Weisman,Brendan Fraser
Jesse Dylan,Alyson Hannigan
Antoine Fuqua,Denzel Washington
Brad Silberling,Eric Idle
Shawn Levy,Mila Kunis
Wayne Wang,Bob Hoskins
Tony Scott,Denzel Washington
Robert Schwentke,Erika Christensen
Barry Levinson,Demi Moore
Brad Silberling,Nicolas Cage
Paul King,Julie Walters
Quentin Tarantino,David Carradine
Mark Waters,Madeline Carroll
Frank Oz,Robert Downey Jr.
Quentin Tarantino,Vivica A. Fox
Andrey Konchalovskiy,Sylvester Stallone
Robert Zemeckis,Bruce Willis
Tom Dey,Xander Berkeley
Stuart Baird,Oliver Platt
Jimmy Hayward,Amy Poehler
David Fincher,Charles S. Dutton
Rob Minkoff,Jet Li
Joel Schumacher,Gerard Butler
James Bobin,Ty Burrell
Alan Parker,Andrea Corr
John Frankenheimer,Robert De Niro
Steve Antin,Eric Dane
Stephen Hopkins,Tom Wilkinson
Clint Eastwood,Angelina Jolie Pitt
Akiva Schaffer,Will Forte
William Friedkin,Connie Nielsen
Jon Turteltaub,Anthony Hopkins
Bobby Farrelly,Matt Damon
Kent Alterman,Will Ferrell
Karyn Kusama,Charlize Theron
Andrew Davis,Keanu Reeves
Tony Scott,Robert De Niro
Shekhar Kapur,Eddie Redmayne
Karey Kirkpatrick,Stephen Root
Ron Maxwell,Billy Campbell
Robert Butler,Hector Elizondo
Walter Hill,Sylvester Stallone
Steven Zaillian,Kate Winslet
Jonathan Frakes,Sophia Myles
Jean-Pierre Jeunet,Denis Lavant
Jim Gillespie,Sylvester Stallone
Richard Lester,Margot Kidder
Anthony Russo,Todd Stashwick
Gabriele Muccino,Will Smith
Francis Ford Coppola,Al Pacino
Cameron Crowe,Orlando Bloom
Martin Brest,Todd Giebenhain
John Singleton,Christian Bale
Jay Chandrasekhar,Alice Greczyn
F. Gary Gray,Gerard Butler
Don Bluth,Kirsten Dunst
Baz Luhrmann,Jim Broadbent
Harold Becker,Steve Buscemi
Clint Eastwood,Paul Walker
Robert Rodriguez,Quentin Tarantino
Jonathan Demme,Oprah Winfrey
Kathryn Bigelow,Jennifer Ehle
Steven Spielberg,Leonardo DiCaprio
Phyllida Lloyd,Colin Firth
Peyton Reed,Jon Favreau
Garry Marshall,Bradley Cooper
Martin Scorsese,Robert De Niro
David Dobkin,Ryan Reynolds
Terrence Malick,Nick Stahl
Pierre Morel,Kasia Smutniak
Paul Hunter,Jaime King
Bobby Farrelly,Robert Forster
John Whitesell,Matthew Broderick
George Nolfi,Matt Damon
Chris Weitz,Robert Pattinson
Andrew Adamson,Kathleen Freeman
Seth MacFarlane,Mila Kunis
Phil Lord,Channing Tatum
Kevin Reynolds,Alan Rickman
Cameron Crowe,Tom Cruise
Sean Anders,Will Ferrell
James L. Brooks,Lupe Ontiveros
Tom Shadyac,Robin Williams
Rob Marshall,Johnny Depp
Adam McKay,Harrison Ford
J.J. Abrams,Joel Courtney
Steven Brill,Steve Buscemi
